Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Age group (product.metafields.shopify.age-group),Blade design (product.metafields.shopify.blade-design),Blade material (product.metafields.shopify.blade-material),Color (product.metafields.shopify.color-pattern),Condition (product.metafields.shopify.condition),Handle color (product.metafields.shopify.handle-color),Handle material (product.metafields.shopify.handle-material),Hardware material (product.metafields.shopify.hardware-material),Jewelry material (product.metafields.shopify.jewelry-material),Jewelry type (product.metafields.shopify.jewelry-type),Material (product.metafields.shopify.material),Target gender (product.metafields.shopify.target-gender),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / France,Price / France,Compare At Price / France,Included / European Union,Price / European Union,Compare At Price / European Union,Included / International,Price / International,Compare At Price / International,Status
edge-of-space-pliant-damax-et-bois-de-fer,Edge Of Space pliant Damas et bois de fer,"<p>Le ""Edge Of Space"" est un élégant couteau de table. Il est réalisé de façon artisanale.</p>
<p>Il est maintenant disponible en version pliant à friction. La lame est contrainte par le serrage du manche au niveau de l'axe. Ce serrage est réglable pas vissage.</p>
<p>Sa lame, en acier inoxydable feuilleté, est forgée à la main. Elle est composée de 135 couches alternées de <strong>19C27</strong> et de <strong>7C27Mo2</strong>, assemblées par le fabricant suédois Aleima sous l'appellation <strong>Damax</strong>. Elle présente un guillochage sur son épine dorsale.</p>
<p>Son manche est en <strong>bois de fer d'Arizona</strong>. C'est un bois très compact et très résistant. Il est comblé de résine Epoxy bleue nacrée et se termine par un insert en Micarta noir. <span></span>Il présente une gravure laser ""EoS"" (pour Edge of Space) comblée de résine.</p>",Carbone Stellaire,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Weapons > Collectible Knives > Custom Collectible Knives,Couteau,"",true,Title,Default Title,,,,,,,,CS-ES-0015,79.0,shopify,0,deny,manual,320.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0881/4152/9430/files/IMG_3753.jpg?v=1756897049,1,"",false,,,5311,,,,new,TRUE,,,,,,TRUE,,,damascus-steel; stainless-steel,,neuf,,wood; epoxy; iron-wood,,,,,,,,,,,g,,,true,,,true,,,true,,,active
edge-of-space-pliant-damax-et-bois-de-fer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0881/4152/9430/files/IMG_3754.jpg?v=1756897049,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edge-of-space-pliant-damax-et-bois-de-fer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0881/4152/9430/files/IMG_3755.jpg?v=1756897048,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edge-of-space-pliant-damax-et-bois-de-fer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0881/4152/9430/files/IMG_3756.jpg?v=1756897049,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edge-of-space-pliant-damax-et-bois-de-fer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0881/4152/9430/files/IMG_3757.jpg?v=1756897048,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edge-of-space-pliant-damax-et-bois-de-fer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0881/4152/9430/files/IMG_3758.jpg?v=1756897049,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edge-of-space-pliant-damax-et-bois-de-fer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0881/4152/9430/files/IMG_3759.jpg?v=1756897049,7,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edge-of-space-pliant-damax-et-bois-de-fer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0881/4152/9430/files/EdgeOfSpaceDimensionsPliantDamax.png?v=1756897308,8,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyber-edge-sanmai-carbone-et-morta-epoxy,Cyber Edge SanMaï carbone et Morta/Epoxy,"<p>Le ""Cyber Edge"" est couteau de table ou de cuisine à l'allure radicale. Il est réalisé de façon artisanale.</p>
<p>Sa lame est en acier feuilleté 3 couches (ou <strong>SanMaï</strong>) réalisé à la main. Les 3 couches ont été soudées à la forge puis forgées au marteau pour obtenir cette forme acérée. Son coeur est en acier carbone <strong>80CRV2</strong> et ses cotés en vieux fer récupéré sur un soc de charrue centenaire. La lame est intégrée au manche grâce à un montage sur soie semi-noyée, celle-ci étant subtilement guillochée. </p>
<p>Son manche est en Chêne des marais (ou <strong>Morta</strong>) vieux de 1400 ans. Il présente un premier insert en résine Epoxy bleue nacrée puis un second sur le dessus en bois d'Acacia gravé ""Cyber Edge"".</p>
<p><span><strong>Attention:</strong> L'acier carbone nécessite un entretien particulier. N'étant pas inoxydable il est sensible à la rouille. De plus, en fonction des aliments avec lesquels il rentre en contact, il peut noircir (il se patine). Il est recommandé de toujours le sécher rapidement après usage et de huiler la lame (elle a été traitée en atelier avec une cire afin de limiter l'oxydation).</span></p>",Carbone Stellaire,Home & Garden > Kitchen & Dining > Kitchen Tools & Utensils > Kitchen Knives > Chef's Knives,Couteau,"",true,Title,Default Title,,,,,,,,CS-CE-0001,107.0,shopify,0,deny,manual,385.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0881/4152/9430/files/IMG_3398.jpg?v=1748787246,1,"",false,,,5311,,,,new,TRUE,,,,,,TRUE,,,stainless-steel; 80-crv-2; san-mai; wrought-iron,,,black; blue,wood; epoxy; morta,,,,,,,,,,,g,,,true,,,true,,,true,,,active
cyber-edge-sanmai-carbone-et-morta-epoxy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0881/4152/9430/files/IMG_3399.jpg?v=1748787245,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
